,0,1,2,3,4,5,6,7,8
206,2013.0,2.0,231396.7,11150.8,242547.5,154428.25,106192.25,260620.5,503168.0
207,2013.0,3.0,326780.95,8252.0,335032.95,160129.5,145167.75,305297.25,640330.2
208,2013.0,4.0,326114.6,12016.75,338131.35,154904.5,143815.75,298720.25,636851.6
209,2013.0,5.0,328324.9,10311.6,338636.5,148203.5,159810.5,308014.0,646650.5
210,2013.0,6.0,370745.55,12037.45,382783.0,157585.5,175271.75,332857.25,715640.25
211,2013.0,7.0,355682.75,13015.0,368697.75,158484.5,182493.5,340978.0,709675.75
212,2013.0,8.0,370785.7,11888.05,382673.75,150380.0,177838.5,328218.5,710892.25
213,2013.0,9.0,346137.55,16314.55,362452.1,169568.25,152186.75,321755.0,684207.1
214,2013.0,10.0,342247.2,9745.05,351992.25,179175.75,152681.0,331856.75,683849.0
215,2013.0,11.0,322500.6,10620.75,333121.35,172261.0,147976.0,320237.0,653358.35
216,2014.0,0.0,360036.6,11696.75,371733.35,161938.5,151878.0,313816.5,685549.85
217,2014.0,1.0,284812.35,11724.75,296537.1,146925.75,116323.5,263249.25,559786.35
218,2014.0,2.0,327497.05,15388.8,342885.85,187826.0,144562.25,332388.25,675274.1
219,2014.0,3.0,364126.05,13918.0,378044.05,172945.25,155047.5,327992.75,706036.8
220,2014.0,4.0,351403.6,16606.55,368010.15,158473.0,162658.5,321131.5,689141.65
221,2014.0,5.0,382666.15,13426.65,396092.8,160823.0,179523.0,340346.0,736438.8
222,2014.0,6.0,363393.5,16798.75,380192.25,163294.5,173920.25,337214.75,717407.0
223,2014.0,7.0,383551.35,19451.85,403003.2,168248.0,186451.25,354699.25,757702.45
224,2014.0,8.0,411506.95,12714.25,424221.2,150678.5,200233.0,350911.5,775132.7
225,2014.0,9.0,370938.2,10620.45,381558.65,158181.5,175942.75,334124.25,715682.9
226,2014.0,10.0,333152.95,10083.65,343236.6,150568.0,169541.0,320109.0,663345.6
227,2014.0,11.0,336674.95,7724.0,344398.95,152112.0,162056.5,314168.5,658567.45
228,2015.0,0.0,259206.45,8737.25,267943.7,124365.25,137118.25,261483.5,529427.2
229,2015.0,1.0,254225.3,5730.75,259956.05,131806.5,110900.75,242707.25,502663.3
